gene	module
TRINITY_DN463_c0_g1	grey
TRINITY_DN32564_c0_g1	turquoise
TRINITY_DN38808_c0_g1	turquoise
TRINITY_DN462_c21_g1	turquoise
TRINITY_DN6092_c0_g1	blue
TRINITY_DN18703_c0_g1	turquoise
TRINITY_DN1174_c2_g1	blue
TRINITY_DN113621_c0_g1	blue
TRINITY_DN1262_c17_g1	blue
TRINITY_DN8083_c3_g1	blue
TRINITY_DN99263_c0_g1	turquoise
TRINITY_DN1906_c1_g1	turquoise
TRINITY_DN17543_c0_g1	turquoise
TRINITY_DN54_c2_g2	blue
TRINITY_DN73500_c0_g1	turquoise
TRINITY_DN6474_c0_g1	turquoise
TRINITY_DN70337_c1_g1	blue
TRINITY_DN20357_c0_g2	blue
TRINITY_DN11511_c0_g1	turquoise
TRINITY_DN77750_c0_g1	grey
TRINITY_DN3760_c6_g1	blue
TRINITY_DN17607_c0_g1	turquoise
TRINITY_DN46839_c0_g1	turquoise
TRINITY_DN40695_c0_g1	blue
TRINITY_DN2887_c0_g2	blue
TRINITY_DN20844_c1_g1	blue
TRINITY_DN6816_c0_g2	blue
TRINITY_DN3831_c26_g1	blue
TRINITY_DN79593_c2_g1	turquoise
TRINITY_DN10949_c1_g2	turquoise
TRINITY_DN282_c0_g1	turquoise
TRINITY_DN126883_c0_g1	blue
TRINITY_DN180_c5_g1	blue
TRINITY_DN3436_c1_g1	blue
TRINITY_DN143223_c0_g1	blue
TRINITY_DN3163_c0_g1	blue
TRINITY_DN29205_c0_g1	turquoise
TRINITY_DN92666_c0_g1	blue
TRINITY_DN15969_c0_g1	blue
TRINITY_DN223847_c0_g1	blue
TRINITY_DN19956_c0_g4	turquoise
TRINITY_DN2189_c0_g1	grey
TRINITY_DN12914_c0_g1	turquoise
TRINITY_DN8494_c0_g1	turquoise
TRINITY_DN107748_c0_g2	turquoise
TRINITY_DN5353_c0_g1	blue
TRINITY_DN3526_c6_g1	turquoise
TRINITY_DN6354_c2_g1	turquoise
TRINITY_DN4324_c1_g1	turquoise
TRINITY_DN18613_c0_g1	blue
TRINITY_DN6008_c3_g1	turquoise
TRINITY_DN94018_c1_g1	blue
TRINITY_DN8075_c0_g1	turquoise
TRINITY_DN65959_c1_g1	blue
TRINITY_DN219594_c0_g1	turquoise
TRINITY_DN133796_c1_g1	blue
TRINITY_DN35399_c3_g1	blue
TRINITY_DN7035_c12_g2	turquoise
TRINITY_DN15583_c0_g1	turquoise
TRINITY_DN48945_c3_g1	blue
TRINITY_DN6379_c0_g1	blue
TRINITY_DN48196_c0_g1	blue
TRINITY_DN7750_c26_g1	blue
TRINITY_DN31587_c1_g1	blue
TRINITY_DN499_c0_g1	blue
TRINITY_DN116424_c0_g2	blue
TRINITY_DN4403_c0_g1	yellow
TRINITY_DN51281_c2_g1	turquoise
TRINITY_DN12077_c0_g2	blue
TRINITY_DN3831_c1_g4	turquoise
TRINITY_DN148349_c2_g1	blue
TRINITY_DN22083_c0_g1	turquoise
TRINITY_DN10467_c0_g3	blue
TRINITY_DN7031_c1_g2	turquoise
TRINITY_DN47446_c0_g1	turquoise
TRINITY_DN514_c31_g1	blue
TRINITY_DN181928_c0_g1	turquoise
TRINITY_DN10025_c2_g1	turquoise
TRINITY_DN9766_c1_g1	yellow
TRINITY_DN7162_c0_g1	turquoise
TRINITY_DN219197_c0_g1	blue
TRINITY_DN76384_c0_g1	turquoise
TRINITY_DN3604_c4_g1	grey
TRINITY_DN23444_c2_g1	turquoise
TRINITY_DN2548_c2_g1	turquoise
TRINITY_DN70734_c0_g1	turquoise
TRINITY_DN137165_c0_g1	turquoise
TRINITY_DN47189_c2_g1	turquoise
TRINITY_DN1106_c1_g3	turquoise
TRINITY_DN176592_c0_g1	turquoise
TRINITY_DN11380_c18_g2	blue
TRINITY_DN5668_c1_g1	grey
TRINITY_DN25610_c0_g1	turquoise
TRINITY_DN61838_c0_g1	blue
TRINITY_DN157790_c1_g1	turquoise
TRINITY_DN41726_c0_g1	grey
TRINITY_DN30093_c3_g1	turquoise
TRINITY_DN112908_c1_g2	turquoise
TRINITY_DN33709_c0_g1	yellow
TRINITY_DN9275_c0_g1	turquoise
TRINITY_DN26292_c2_g1	blue
TRINITY_DN60647_c0_g2	turquoise
TRINITY_DN1127_c0_g2	turquoise
TRINITY_DN57360_c0_g2	turquoise
TRINITY_DN63738_c1_g1	turquoise
TRINITY_DN74173_c4_g1	grey
TRINITY_DN31059_c2_g1	turquoise
TRINITY_DN70960_c0_g1	turquoise
TRINITY_DN139966_c0_g1	turquoise
TRINITY_DN190978_c1_g1	grey
TRINITY_DN907_c18_g1	brown
TRINITY_DN1684_c0_g2	blue
TRINITY_DN176710_c1_g1	blue
TRINITY_DN157790_c0_g1	turquoise
TRINITY_DN91422_c0_g1	turquoise
TRINITY_DN53267_c0_g1	brown
TRINITY_DN4559_c0_g1	turquoise
TRINITY_DN2379_c0_g1	turquoise
TRINITY_DN5283_c1_g1	blue
TRINITY_DN14042_c0_g1	turquoise
TRINITY_DN99609_c0_g1	turquoise
TRINITY_DN92743_c0_g1	turquoise
TRINITY_DN2603_c0_g1	turquoise
TRINITY_DN8202_c3_g1	blue
TRINITY_DN6094_c0_g1	blue
TRINITY_DN3906_c1_g1	blue
TRINITY_DN98453_c2_g1	blue
TRINITY_DN161994_c0_g1	blue
TRINITY_DN6491_c0_g5	grey
TRINITY_DN39328_c0_g1	turquoise
TRINITY_DN1763_c0_g2	turquoise
TRINITY_DN135968_c2_g1	turquoise
TRINITY_DN114_c2_g1	blue
TRINITY_DN44898_c0_g1	turquoise
TRINITY_DN80088_c0_g1	turquoise
TRINITY_DN599_c0_g3	blue
TRINITY_DN35976_c0_g1	turquoise
TRINITY_DN75156_c0_g1	turquoise
TRINITY_DN1263_c35_g2	turquoise
TRINITY_DN61031_c1_g1	turquoise
TRINITY_DN38931_c0_g1	turquoise
TRINITY_DN1171_c0_g1	turquoise
TRINITY_DN8126_c0_g2	turquoise
TRINITY_DN15103_c0_g1	blue
TRINITY_DN135468_c0_g1	turquoise
TRINITY_DN178933_c0_g2	blue
TRINITY_DN94535_c0_g1	turquoise
TRINITY_DN17274_c0_g1	blue
TRINITY_DN15740_c0_g2	blue
TRINITY_DN10642_c2_g2	blue
TRINITY_DN63812_c3_g1	blue
TRINITY_DN8069_c1_g1	turquoise
TRINITY_DN8195_c0_g3	blue
TRINITY_DN4119_c4_g1	turquoise
TRINITY_DN7980_c3_g1	blue
TRINITY_DN1510_c1_g1	turquoise
TRINITY_DN253_c31_g1	blue
TRINITY_DN53412_c0_g1	blue
TRINITY_DN262627_c0_g1	blue
TRINITY_DN37616_c0_g1	blue
TRINITY_DN18590_c1_g1	blue
TRINITY_DN18290_c0_g1	turquoise
TRINITY_DN74008_c0_g1	blue
TRINITY_DN217772_c0_g1	turquoise
TRINITY_DN3692_c17_g1	blue
TRINITY_DN1990_c12_g2	red
TRINITY_DN41544_c2_g1	blue
TRINITY_DN111892_c0_g1	grey
TRINITY_DN206610_c0_g1	turquoise
TRINITY_DN123503_c3_g1	turquoise
TRINITY_DN196502_c0_g1	blue
TRINITY_DN2771_c0_g1	blue
TRINITY_DN6076_c1_g1	turquoise
TRINITY_DN178829_c0_g1	green
TRINITY_DN85212_c0_g1	blue
TRINITY_DN5641_c0_g2	blue
TRINITY_DN10814_c0_g1	turquoise
TRINITY_DN10436_c0_g3	turquoise
TRINITY_DN185611_c1_g1	blue
TRINITY_DN239919_c0_g1	blue
TRINITY_DN3508_c0_g1	grey
TRINITY_DN74406_c0_g1	blue
TRINITY_DN48181_c0_g3	blue
TRINITY_DN186_c1_g2	blue
TRINITY_DN19128_c1_g2	yellow
TRINITY_DN84067_c0_g1	turquoise
TRINITY_DN1440_c0_g1	turquoise
TRINITY_DN114365_c0_g1	blue
TRINITY_DN123491_c1_g1	turquoise
TRINITY_DN26446_c0_g1	blue
TRINITY_DN212_c0_g1	blue
TRINITY_DN5500_c0_g2	turquoise
TRINITY_DN3414_c0_g4	turquoise
TRINITY_DN7923_c0_g1	blue
TRINITY_DN148244_c0_g1	turquoise
TRINITY_DN7627_c5_g1	red
TRINITY_DN237862_c0_g1	blue
TRINITY_DN7569_c1_g1	blue
TRINITY_DN8177_c2_g1	turquoise
TRINITY_DN16332_c4_g1	turquoise
TRINITY_DN121_c5_g1	blue
TRINITY_DN7137_c1_g1	grey
TRINITY_DN5730_c1_g1	turquoise
TRINITY_DN4735_c3_g1	turquoise
TRINITY_DN79924_c0_g1	grey
TRINITY_DN23688_c3_g2	blue
TRINITY_DN65175_c0_g1	turquoise
TRINITY_DN14648_c0_g1	turquoise
TRINITY_DN66695_c0_g1	turquoise
TRINITY_DN27979_c0_g1	yellow
TRINITY_DN70143_c0_g1	turquoise
TRINITY_DN34049_c7_g1	turquoise
TRINITY_DN24368_c2_g3	turquoise
TRINITY_DN127556_c0_g1	turquoise
TRINITY_DN75213_c1_g1	turquoise
TRINITY_DN190097_c0_g1	turquoise
TRINITY_DN11624_c1_g1	blue
TRINITY_DN751_c6_g1	blue
TRINITY_DN17546_c1_g1	blue
TRINITY_DN18276_c0_g2	blue
TRINITY_DN9880_c0_g1	turquoise
TRINITY_DN32107_c0_g1	grey
TRINITY_DN47266_c1_g2	blue
TRINITY_DN15106_c0_g1	grey
TRINITY_DN61080_c0_g1	turquoise
TRINITY_DN687_c0_g1	turquoise
TRINITY_DN23782_c3_g1	blue
TRINITY_DN1068_c0_g1	turquoise
TRINITY_DN42919_c2_g1	turquoise
